n_failed_parse,n_pairs,n_success,path_id,avg_efficiency,n_missing_F_or_R
0,21,21,0,1.8147619047619048,0
0,21,21,1,1.7266666666666666,0
0,21,21,2,1.7566666666666666,0
0,21,21,3,1.7966666666666664,0
0,21,21,4,1.679047619047619,0
0,21,21,5,1.6985714285714286,0
0,22,22,6,1.7645454545454546,0
0,21,21,7,1.7857142857142858,0
0,21,21,8,1.7685714285714287,0
0,21,21,9,1.7142857142857142,0
0,22,22,10,1.8181818181818181,0
0,21,21,11,1.7857142857142858,0
0,21,21,12,1.7757142857142856,0
0,21,21,13,1.7461904761904763,0
0,21,21,14,1.7580952380952382,0
0,21,21,15,1.7142857142857142,0
0,21,21,16,1.7104761904761905,0
0,21,21,17,1.7566666666666666,0
0,21,21,18,1.7142857142857142,0
0,21,21,19,1.6866666666666668,0
0,22,22,20,1.9090909090909092,0
0,21,21,21,1.7142857142857142,0
0,21,21,22,1.6833333333333333,0
0,22,22,23,1.7727272727272727,0
0,21,21,24,1.7376190476190476,0
0,21,21,25,1.7271428571428569,0
0,21,21,26,1.8333333333333333,0
0,21,21,27,1.6990476190476191,0
0,21,21,28,1.6228571428571428,0
0,21,21,29,1.7857142857142858,0
0,21,21,30,1.7380952380952381,0
0,22,22,31,1.7586363636363636,0
0,21,21,32,1.825238095238095,0
0,22,22,33,1.7627272727272727,0
0,21,21,34,1.6223809523809525,0
0,21,21,35,1.8095238095238095,0
0,21,21,36,1.7619047619047619,0
0,21,21,37,1.7171428571428569,0
0,22,22,38,1.8059090909090911,0
0,21,21,39,1.6647619047619049,0
0,21,21,40,1.74,0
0,22,22,41,1.7495454545454547,0
0,21,21,42,1.7285714285714284,0
0,21,21,43,1.7152380952380955,0
0,22,22,44,1.8409090909090908,0
0,21,21,45,1.8266666666666667,0
0,21,21,46,1.7219047619047618,0
0,21,21,47,1.7685714285714287,0
0,22,22,48,1.8031818181818182,0
0,21,21,49,1.7857142857142858,0
0,21,21,50,1.7619047619047619,0
0,21,21,51,1.7509523809523808,0
0,21,21,52,1.747142857142857,0
0,21,21,53,1.7247619047619047,0
0,22,22,54,1.7986363636363636,0
0,21,21,55,1.8176190476190477,0
0,21,21,56,1.7857142857142858,0
0,21,21,57,1.731904761904762,0
0,22,22,58,1.844090909090909,0
0,21,21,59,1.7142857142857142,0
0,21,21,60,1.6428571428571428,0
0,21,21,61,1.8438095238095238,0
0,22,22,62,1.7868181818181819,0
0,21,21,63,1.694761904761905,0
0,21,21,64,1.739047619047619,0
0,21,21,65,1.7619047619047619,0
0,21,21,66,1.7152380952380955,0
0,21,21,67,1.706190476190476,0
0,22,22,68,1.8181818181818181,0
0,21,21,69,1.7142857142857142,0
0,21,21,70,1.75,0
0,21,21,71,1.8076190476190477,0
0,21,21,72,1.8038095238095235,0
0,22,22,73,1.7663636363636364,0
0,22,22,74,1.7954545454545454,0
0,21,21,75,1.8095238095238095,0
0,21,21,76,1.7833333333333334,0
0,21,21,77,1.7619047619047619,0
0,21,21,78,1.7580952380952382,0
0,21,21,79,1.6904761904761905,0
0,21,21,80,1.8333333333333333,0
0,21,21,81,1.6795238095238094,0
